k,q1,q2,qdot1,qdot2,torque,Fr,h_dt
0,0.5,-0.5,0,0,0,0,0
1,0.477255,-0.477255,-0.454909,0.454909,-12.657253,22.467253,0.05
2,0.429509,-0.429509,-0.954909,0.954909,-9.050008,18.860008,0.05
3,0.354509,-0.354509,-1.5,1.5,-5.442747,15.252747,0.05
4,0.25,-0.25,-2.090182,2.090182,-1.83547,11.64547,0.05
5,0.336939,-0.336939,0.086939,-0.086939,-57.758484,67.568484,1
6,0.309411,-0.309411,-0.550579,0.550579,1.95148,7.85852,0.05
7,0.25,-0.25,1.188211,1.188211,1.960534,7.849466,0.05
8,0.25,-0.25,0,0,-53.802843,63.612843,1
9,0.75,-0.75,4.800015,-4.800015,-233.371136,243.181136,0.104166
10,0.976177,-0.75,2.931867,0,47.814872,0,0.0771445
11,1.113029,-0.75,2.199378,0,-1.962,0,0.062223
12,1.204304,-0.75,1.466884,0,1.962,0,0.0622234
13,1.25,-0.75,0.734396,0,-1.962,0,0.0622229
14,1.256782,-0.747463,0.135647,0.050742,-1.150131,0,0.05
15,1.196465,-0.746327,-0.774229,0.014585,-2.333286,0,0.0779058
16,1.128374,-0.745848,-1.361825,0.009568,-2.042275,0,0.05
17,1.031121,-0.746709,-1.945067,-0.017222,-2.390643,0,0.05
18,0.904923,-0.75,-2.523949,-0.065813,-2.739448,0,0.05
19,0.75,-0.75,-3.098468,0,-3.088448,2.724316,0.05
20,0.480874,-0.480874,-0.269126,0.269126,-60.367371,73.275839,1
21,0.435671,-0.435671,-0.90407,0.90407,1.745514,8.064486,0.05
22,0.358715,-0.358715,-1.539125,1.539125,1.754453,8.055547,0.05
23,0.25,-0.25,-2.174293,2.174293,1.763412,8.046588,0.05
24,0.25,-0.25,0,0,-57.747171,67.557171,1
25,0.725016,-0.725016,1.008247,-1.008247,-57.610235,67.420235,0.471131
26,0.75,-0.75,0.499675,-0.499675,-8.36419,18.17419,0.05
27,0.749995,-0.749995,-0.0001,0.0001,-9.068023,18.878023,0.05
